,Max Atmospheric Addition (Gt),Total Removal by 2075 (Gt),Milestone Year,Max Deployment Rate,Final Capacity,prob_1_5C,prob_1_7C,prob_2_0C,Param_midpoint_year,Param_max_gt_capacity,Param_P0,Param_r,Param_v,Param_Q,Param_tonnes_per_unit,Param_service_life,Param_capacity_factor,Param_learning_rate,Param_bg_growth_rate,Param_decline_start_year,Param_decline_rate,Param_capacity_improvement_rate,Param_max_capacity_factor
0,962.3486590438362,761.7239718820658,2032,1839850.0337497727,21.726894679505044,0.14415413543954933,0.4026545548963337,0.7875924322116691,2041,29.493285722268503,6.779626565612971,0.4215129730889652,1.466264090543178,0.8425858845981028,966.2702283155837,20.310916524411482,0.9051154762772473,0.14467727623044452,0.006750290666433883,2039,0.02688816726353472,0.024195164608099024,1.1536419776589837
1,1125.9882420827762,889.0347461600061,2025,3273886.876843481,23.976162221324916,0.0929748502884115,0.2999235956354738,0.6514227530709119,2038,33.81603395412744,9.888139050492562,0.25187280597547645,1.1145369622359684,0.6211689546353468,905.4248297238876,19.325539531174588,0.8786330077333135,0.1842804009660507,0.01297057884623707,2043,0.027495912193905063,0.007050373430812763,1.3485960694783605
2,1395.7478239936322,764.9322603547143,2037,2199212.0515740477,22.933828723124837,0.04512215420944977,0.18455739766685095,0.47639040979584496,2040,35.07223820563703,7.535072404129629,0.7283058236871507,1.3143628587542682,0.8217822822924583,1175.0728295203921,15.196154503767774,0.8843498972735414,0.2600484272782464,0.008336792633837967,2045,0.011335632978154398,0.028545145111616373,1.0020451896712639
3,1283.0133857031856,650.3244399332289,2042,1590646.8618098025,22.807905890388298,0.061038306633256115,0.2260785493739526,0.5429458847050354,2045,30.218911587669336,6.66908181776077,0.45233285939337037,0.7927958499552,1.325398871398877,1194.87294316061,24.823721009218772,0.8766410483166766,0.1617955666159748,0.005167484485926226,2044,0.016758505392098683,0.01750918101602687,1.4295071399702155
4,1165.9823415773462,993.9707203232292,2030,3197084.6982606263,26.041868475098557,0.08352490433776004,0.2790911363076316,0.6218915162226314,2036,29.726325580933093,7.862321246280676,0.6493525365856403,1.4800692250255767,0.9256046034703271,816.9436635859298,24.142280713339982,0.881640970290205,0.12766616446632156,0.01033982533766861,2041,0.010074508264080276,0.03272104548161575,1.1949680605296233
5,1438.648167886166,539.8631032517925,2046,1684721.2610955038,25.04459065660454,0.04022144971891819,0.17084212672949511,0.4532633521063002,2050,32.09763546001322,5.250563962676939,0.4183514712798144,0.7814038357183207,0.7592482971166273,1173.6806853636137,23.683397964090297,0.8980531822632729,0.1950189114052167,0.008754704746238934,2043,0.021640706043225114,0.009493987279158445,1.2075292428527118
6,893.8553046385305,1125.8580598888816,2027,2000534.5266096776,33.551368566201404,0.17319970656432285,0.4554869417783401,0.8527215253283833,2040,39.5323250412252,1.8638293624707374,0.20948641363566792,0.7378462019131131,0.7143676934674752,1003.6906525102426,21.65838425011899,0.935511845309502,0.10515110636570264,0.009653073418652897,2040,0.033330404498721995,0.02756431199395172,1.168072122687909
7,1384.3103219563443,697.4544287596209,2030,1658195.295790521,20.161063634663513,0.04652667739538658,0.18839635545414388,0.48275303542658976,2037,24.086872851316766,4.314900017577276,0.25107624961605324,0.8184647016927292,1.4734325022077401,908.2290034303439,17.088779310935227,0.9276752754374739,0.1010287096457136,0.006442331700410609,2044,0.010471706288801572,0.006606604008943429,1.4118997614071267
8,1685.7621172391396,671.6987500141431,2030,1704388.6195729272,18.923584977771007,0.020741469301735715,0.10950112089880086,0.3402978033827041,2038,25.634536347270327,5.0170910459466675,0.38284078015477885,1.2336201304962995,0.7138093905489488,888.3877251573322,18.217137607931786,0.8482972657662836,0.20527833368843418,0.01395700221743254,2045,0.01340234675744803,0.01810768376463918,1.2677979285716192
9,1121.0317779587504,788.557075715301,2039,2194935.731344285,29.49209345959294,0.0942181043273165,0.30261137648304026,0.6551788947550388,2050,39.29438809845827,7.254816854382858,0.3665360581710615,1.2721452201543917,0.5368127954709057,1010.6902708625223,18.790431450096683,0.8778065426344693,0.19408284321420033,0.012083507278463943,2032,0.015836813228450278,0.04565299004022863,1.325449227531608
10,1202.0191075947846,799.1649678369491,2031,1831419.5250398105,22.875090795268648,0.0758354840183873,0.26156222337136803,0.5964306765270896,2038,32.20497931776486,5.58272673457785,0.33058195094976384,0.9673979752539378,0.9019676322003597,936.2322529537608,21.564597413383556,0.9064665049612457,0.2205199995617679,0.007667958079236169,2045,0.019649582999188998,0.023549714777626896,1.0312563809095254
11,929.3261814773854,646.3598172956445,2047,2735307.021503046,25.24956492896104,0.15749336840236144,0.42731415559131913,0.8183472946000947,2048,32.689981924845874,3.1043655754120882,0.7007287067346419,0.8301643272696614,0.91427193359397,966.857828025085,23.802796864091103,0.8269652476343419,0.260801376549598,0.006761349035856727,2030,0.035241535316069904,0.032841883980277514,1.1639685162213005
12,1056.161853359462,972.5701560299696,2039,4504856.149339899,31.431963409362126,0.11210811871894379,0.3400916910140444,0.7063828935677859,2041,39.02171483286595,5.531387220951674,0.6390957075551786,0.702247787211974,1.0581375138654612,965.7816483862449,16.317997276373738,0.8222737108705516,0.1156720373273149,0.010391943415235666,2043,0.030799512406640077,0.010232865265707504,1.0893321458731933
13,1323.6686744868828,351.50284052869756,2050,1640203.9408045036,17.931112310517957,0.05473730505845708,0.21012508214800119,0.517934880033154,2052,20.2807224831733,1.780241209478422,0.567269568201984,0.6858358843754335,0.5347586306839884,910.3719062023148,24.061115007756687,0.9343832510243988,0.13888735325303053,0.007052487213172286,2040,0.03268757092487216,0.03125543436157251,1.1255760045757328
